Source,Target,Type,Id,Label,Weight
Australia,Afghanistan,Directed,9796,,44.27
Australia,Albania,Directed,9797,,0.02
Australia,Algeria,Directed,9798,,0.02
Australia,Angola,Directed,9799,,0.01
Australia,Antigua and Barbuda,Directed,9800,,0.01
Australia,Argentina,Directed,9801,,0.04
Australia,Bangladesh,Directed,9802,,79.650002
Australia,Bhutan,Directed,9803,,3.44
Australia,Bolivia,Directed,9804,,0.01
Australia,Bosnia and Herzegovina,Directed,9805,,0.01
Australia,Botswana,Directed,9806,,0.68
Australia,Brazil,Directed,9807,,0.1
Australia,Burundi,Directed,9808,,0.41
Australia,Cabo Verde,Directed,9809,,0.02
Australia,Cambodia,Directed,9810,,39.049999
Australia,Cameroon,Directed,9811,,0.18
Australia,China (People's Republic of),Directed,9812,,0.46
Australia,Colombia,Directed,9813,,0.03
Australia,Comoros,Directed,9814,,0.01
Australia,Costa Rica,Directed,9815,,0.01
Australia,Cote d'Ivoire,Directed,9816,,0.05
Australia,Cuba,Directed,9817,,0.01
Australia,Djibouti,Directed,9818,,0.03
Australia,Dominican Republic,Directed,9819,,0.01
Australia,Ecuador,Directed,9820,,0.02
Australia,Egypt,Directed,9821,,0.05
Australia,El Salvador,Directed,9822,,0.01
Australia,Eswatini,Directed,9823,,0.35
Australia,Ethiopia,Directed,9824,,1.88
Australia,Fiji,Directed,9825,,48.110001
Australia,Gambia,Directed,9826,,0.18
Australia,Ghana,Directed,9827,,1.27
Australia,Guatemala,Directed,9828,,0.01
Australia,Guinea-Bissau,Directed,9829,,0.02
Australia,Guyana,Directed,9830,,0.03
Australia,Honduras,Directed,9831,,0.01
Australia,India,Directed,9832,,2.29
Australia,Indonesia,Directed,9833,,183.539993
Australia,Iran,Directed,9834,,0.08
Australia,Iraq,Directed,9835,,22.27
Australia,Jamaica,Directed,9836,,0.02
Australia,Jordan,Directed,9837,,6.23
Australia,Kenya,Directed,9838,,2.93
Australia,Kiribati,Directed,9839,,18.860001
Australia,Kosovo,Directed,9840,,0.12
Australia,Kyrgyzstan,Directed,9841,,0.03
