"Bhutan","","2.48","0.64","..","0.48","..","..","0.22","0.04","2.66","..","..","..","..","0.05","9.31","2.96","0.02","..","..","0.2","0.07","0","..","..","..","..","0.46","0.21","0.27","1.22","6.67","..","1.16","0.07","..","..","0.05","..","..","..","..","..","..","..","..","..","..","0.7","..","..",".."
"Bolivia","","0.04","0.4","6.86","11.32","0.01","0.64","0.44","150.82","37.7","..","..","..","0.11","4.1","23.58","9.44","..","0.62","..","0.09","2.12","0.04","..","..","..","42.42","31.18","24.99","2.07","8.39","40.28","..","..","..","..","..","0.08","..","..","..","2.05","..","..","..","0","..","..","..","..","0.03","0.07"
"Cabo Verde","","0.02","0.27","1.59","0.2","0.05","..","..","1.19","1.09","..","9.87","..","..","1.66","7.64","0.21","..","22.09","..","..","..","0","10.49","..","1.02","0.67","0.12","0.03","0.3","1.56","20.33","..","..","..","..","..","0.01","..","0.99","..","..","..","..","..","..","..","..","..","..","0","0.02"
"Cambodia","","78.22","0.08","4.14","2","2.04","2.17","1.49","111.5","55.09","..","0.33","..","1.42","0.29","459","113.08","0","1.27","0.15","8.69","4.71","0.02","..","0.02","..","-10.31","23.55","19.73","2.8","108.63","105.62","..","..","..","..","..","0.06","..","..","..","..","0","..","0.96","0","..","..","10.12","..","0.12","0.94"
"Cameroon","","0.58","0.35","2.64","15.84","0.05","1.36","..","135.74","137.14","..","0.02","..","1","7.58","34.03","30.25","0.01","0.35","..","..","2.98","0.51","0","..","..","-0.99","13.28","10.48","11.05","141.06","105.9","..","..","..","..","..","0.21","..","-3.85","..","..","0","..","1.69","0.08","..","..","0.03","..","0.85","0.3"
"Cayman Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Central African Republic","","..","0.01","..","13.18","..","2.76","2.24","30.53","69.27","..","0","..","6.23","7.81","6.45","2.09","..","1.4","4.84","..","7.28","..","1.03","..","..","0.7","19.48","10.99","13.65","122.11","88.17","..","..","..","..","..","..","..","..","..","..","..","..","..","0","..","..","..","..","0.1","1.5"
"Chad","","0.03","0.03","..","10.98","..","0.88","..","84.9","37.61","..","0","..","2.58","5.34","9.48","4.38","..","0.98","..","..","..","0","..","..","..","7.1","11.61","29.4","1.65","111.74","87.65","..","..","..","..","..","0.1","..","3.85","..","..","..","..","3.53","0.05","..","..","..","..","1.2","2.63"
"Chile","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"China (People's Republic of)","","0.21","6.42","0.44","-20.9","0.04","0.41","0.22","..","359.9","0.01","5.21","..","0.05","-21.83","-800.55","-4.99","0.04","0.04","3.36","0.24","8.88","-11.04","1.39","..","..","-28.24","2.69","2.66","71.16","14.06","73.45","..","..","..","..","..","9.68","..","-20.64","0.03","..","..","..","1.54","0.02","..","..","0.32","..","0.67","0.01"
"Colombia","","0.06","3.21","1.74","37.18","0.23","1.01","1.15","300.03","286.64","..","0.72","..","2.85","3.79","2.65","125.52","0.03","0.44","4.01","0.48","72.16","0.42","1.05","..","..","82.83","55.71","38.17","58.07","673.18","77.1","..","..","0","..","..","0.69","..","..","..","..","0","..","0.19","0.08","..","..","..","..","1.3","6"
"Comoros","","0.02","..","..","0.22","..","..","..","46.33","0.02","..","0","..","..","..","1","1","..","..","..","..","..","0.05","..","..","0.01","..","0.15","..","0.2","0.77","4.63","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.23","34.71"
"Congo","","..","..","0.94","0.99","..","0.11","..","48.81","0.7","..","0","..","0.02","0.83","8.78","..","..","..","0.52","..","0.9","0.08","0.01","1.4","1.55","1.06","0.74","0.31","0.1","19.96","9.49","..","..","..","..","..","0.02","..","..","..","..","..","..","..","0.03","..","..","..","..","0.26","0.9"
"Cook Islands","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Costa Rica","","0.01","0.47","0.06","2.73","0","..","..","5.59","3.12","..","0.05","0.06","..","0.08","-5.93","3.41","0.01","..","0.44","0.06","..","0.03","..","..","..","6.28","1.09","0.2","1.13","32.48","4.33","..","..","..","..","..","0.3","..","..","..","..","0","..","0.06","0","..","..","0","..","0.04","0.83"
"Cote d'Ivoire","","0.05","1.16","0.34","10.16","..","..","..","359.54","92.74","..","0","..","0.02","4.34","34.26","35.52","0.06","0.14","0.02","..","0.19","0.02","0.4","..","..","11.48","1.33","0.56","4.75","188.17","96.89","..","..","..","..","..","0.23","..","2.06","..","..","..","..","0.07","0.02","..","..","..","..","0.27","0.02"
"Croatia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Cuba","","0.01","0.14","4.48","3.16","0.34","..","..","16.83","1.96","..","0.2","..","0","15.8","10.16","1.13","..","0.04","0.29","0.03","1.04","0.04","0.19","..","0.2","6.43","3.81","13.32","2.03","8.01","25.39","..","..","..","..","..","0.02","..","3.43","..","..","..","..","..","0.08","..","..","..","..","0.01","0.74"
"Cyprus","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Democratic People's Republic of Korea","","..","0.01","..","1.27","..","0.08","0.59","0.4","1.98","..","0","..","0.59","0.02","..","..","0","..","..","..","0.47","0.04","..","..","..","..","0.8","5.59","0.19","0.01","2.93","..","..","..","..","..","0.01","..","..","..","0.08","..","..","..","0.04","..","..","..","..","..",".."
"Democratic Republic of the Congo","","2.53","0.41","113.01","68.93","0.01","2.08","2.18","35.23","191.2","0.02","0.47","0.24","7.85","12.13","42.13","24.43","..","4.54","25.45","..","30.43","0.1","..","..","0.05","6.17","115.27","35.4","100.36","898.85","215.16","..","..","..","..","..","0.04","..","-0.62","..","..","..","..","..","0.07","..","..","..","..","0.36","0.58"
"Djibouti","","..","..","..","0.28","..","1.15","0.02","10.04","0.18","0.34","..","..","..","0.48","11.82","0.2","..","..","..","..","0.3","..","..","..","..","-1.21","0.88","..","0.39","21.63","22.35","..","..","..","..","..","..","..","4.12","..","..","0","..","2.05","..","..","..","..","..","0.74",".."
"Dominica","","0.03","0.01","..","1.4","..","..","..","-0.52","0.12","..","0","0.05","..","..","2.71","..","0","..","..","0.04","..","0","..","..","..","0.01","..","..","0.98","1.2","1.27","..","..","..","..","..","..","..","0.98","..","..","..","..","..","..","..","..","..","..","..","1.95"
"Dominican Republic","","0.01","0.02","0.45","0.11","..","..","0.06","264.29","2.66","..","0","..","..","0.09","0.36","52.27","..","..","0.03","0.01","..","0.02","0","..","..","1.55","0.46","0.05","1.21","72.13","20.95","..","..","..","..","..","0.24","..","..","..","..","..","..","0.02","..","..","..","..","..","0.01","0.76"
"East African Community","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Ecuador","","0.03","0.49","7.34","8.41","0.02","..","..","40.39","42.84","..","1.87","..","0.03","3.21","12.07","10.88","0","0.05","..","0.01","2.36","0.2","0.04","..","..","9.21","0.79","1.05","1.45","70.77","51.36","..","..","..","..","..","0.2","..","..","..","..","0","..","0.07","0","..","..","0.02","..","0.21","0.19"
"Egypt","","0.06","3.91","1.01","15","4.39","-3.49","0.38","169.62","-8.83","2.83","3.64","0.05","0.03","7.06","177.96","74.85","0","0.11","-0.06","0.33","2.94","3.51","2.54","..","1.71","39.23","5.87","26.93","22.45","46.8","2075.61","..","..","..","..","0.04","0.14","..","282.74","..","..","0.3","..","1.16","1.25","..","..","0.01","..","2.08","-6.53"
"El Salvador","","0.01","0.59","2.27","5.69","0.01","..","..","27.4","-0.01","..","..","0.08","..","2.6","14.29","23.61","0","0.67","0.12","0.02","0.68","0.04","0.11","..","..","33.51","2.21","1.92","0.96","92.1","5.16","..","..","..","..","..","0.07","..","..","..","..","..","..","0.1","..","..","..","0","..","0.02","0.01"
"Equatorial Guinea","","..","..","..","0.18","..","0","..","2.67","0.01","..","..","..","..","..","0.12","0.44","..","..","..","..","..","..","0.11","..","..","2.98","0.08","0.01","0.04","0.27","0.16","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.14","0.58"
"Eritrea","","0.02","0.03","..","0.19","..","0.19","0.01","0.64","3.84","..","0.11","..","1.44","1.63","2.35","..","0","..","..","..","..","0.04","..","..","..","..","1.16","1.19","2.25","..","1.5","..","..","..","..","..","..","..","..","..","..","..","..","0.03","..","..","..","..","..","0.11",".."
"Eswatini","","0.13","..","..","0.52","..","..","0.86","0.15","0.21","..","0","..","..","-0.62","5.51","0.19","..","0","..","0.08","0.93","0.01","0.05","..","..","..","0.47","0.66","0.55","59.23","30.22","..","..","..","..","..","0.02","..","..","..","..","..","..","0.06","..","..","..","0","..","0.06","-0.43"
"Ethiopia","","8.5","16.05","10.63","99.08","4.45","65.85","37.21","43.92","174.23","0.02","1.79","1.17","47.97","53.05","60.96","87.78","0.13","3.01","75.66","3.56","88.34","2.2","1.25","0.13","..","11.96","85.32","25.37","164.77","1324.63","168.14","..","..","..","..","0.05","1.05","..","0.03","..","0.22","0","..","2.31","0","..","..","0.01","..","1.45","12.74"
"Fiji","","193.15","0.06","..","0.15","..","..","..","0.64","1.33","..","0.02","..","0.03","..","121.25","5.57","..","..","..","80.6","..","..","..","..","..","..","0.34","0.1","1.77","2.58","9.43","..","..","..","..","..","0.15","..","..","..","..","..","..","..","..","..","..","0.04","..","0.01",".."
"French Polynesia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Gabon","","..","0.19","..","0.33","..","..","..","53.4","0.78","0.34","0","..","..","0.12","6.15","0.66","..","..","..","..","17.65","..","..","..","..","0.07","0.09","0","..","2.43","4.64","..","..","..","..","..","0.01","..","..","..","..","..","..","..","0","..","..","..","..","0.06","0.02"
"Gambia","","0.05","0.12","0.06","0.3","..","..","0.35","1.04","2.15","..","0.01","..","..","0.91","5.89","1.23","..","..","0.05","..","0.24","0.02","0","..","..","0.44","1.12","1.04","24.75","2.77","32.56","..","..","0.01","..","0.45","0.03","..","2.88","0","..","..","..","0.08","..","..","..","0.06","..","4.01","0.85"
"Georgia","","..","6.04","0.01","0.23","4.68","0.86","1.51","194.68","256.45","0.02","1.23","..","0.45","0.19","-5.95","1.39","1.56","0.09","0.59","..","5.69","4.64","0.1","0.96","0.2","0.01","18.15","10.08","7.21","70.73","284.87","..","0.13","..","..","1.58","0.9","..","1.87","0.94","0.02","..","..","0.59","0.07","..","..","0","..","2.93",".."
"Ghana","","1.68","2.99","1.02","52.71","0.76","7.63","0.98","44.6","262.41","1.04","3.61","..","0.51","1.17","31.75","39.74","0","0.08","9.26","0.3","6","0.54","0.12","0.01","0.09","-1.09","4.35","20.63","34.39","240.64","47.92","..","..","..","..","0.82","0.36","..","1.9","..","..","0.77","..","3.68","0","..","..","0.04","..","0.63","0.67"
"Gibraltar","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Grenada","","0.02","0.01","..","0.48","..","..","..","0.05","0.73","..","0","..","..","..","1.83","..","..","..","..","0.06","..","..","..","..","..","..","..","..","0.13","..","0.01","..","..","..","..","..","..","..","-1.16","..","..","..","..","..","0","..","..","0","..","..","1.5"
"Guatemala","","0.01","5.59","2.37","16.45","..","0.64","0.27","1.87","26.42","..","0","..","1.62","0.73","11.9","9.57","..","0.41","..","0.07","5.3","0.02","..","..","..","35.2","38.9","4.69","2.43","252.41","41.31","..","..","..","..","..","0.46","..","..","..","..","..","..","0.34","0","..","..","0","..","0.01","0.25"
"Guinea","","..","..","12.49","3.85","0.01","0.56","0.04","76.84","11.89","..","0.01","..","0.42","1.61","9.84","0.92","..","0.34","..","..","0.16","0.01","0.06","..","..","0.29","1.05","1.75","1.04","43.28","62.83","..","..","..","..","..","0.14","..","1.32","..","..","..","..","..","0.02","..","..","..","..","1.68","16.6"
"Guinea-Bissau","","0.02","0.01","..","0.23","..","..","..","2.3","0.31","..","0","0.01","0.31","0.57","6.03","..","..","..","..","..","0.08","0","19.65","..","..","4.14","0.92","0.58","0.43","6.21","18.67","..","..","..","..","..","0.03","..","..","..","..","..","..","..","0","..","..","..","..","0.58","0.41"
"Guyana","","0.01","..","..","4.83","..","..","..","0.76","0.77","..","..","..","0","-0.21","0.82","0.69","..","..","..","0.05","4.24","..","..","..","..","0.2","0.21","..","1.99","5.89","10.09","..","..","..","..","..","0","..","..","..","..","0","..","..","0.01","..","..","0","..","0.01","0.75"
"Haiti","","..","0.05","5.68","56.56","0.12","0.03","1.26","70.95","7.21","0.12","0","..","2.4","2.37","6.72","2.31","..","1.58","0.35","0.71","5.79","0.01","..","..","0.24","-28.79","5.62","35.27","1.35","258.23","96.3","..","..","..","..","..","0.07","..","0.07","..","0.11","..","0.07","0.26","0.07","..","..","0","..","0.55","0.75"
"Honduras","","0.01","0.17","1.11","22.83","..","0.1","0.58","0.29","19.86","..","0","..","1.37","0.07","16.01","10.54","0","0.08","..","..","1.28","0","0.01","..","..","9.86","3.3","19.8","0.39","174.67","50.31","..","..","..","..","..","0.28","..","-3.55","..","..","0","..","..","0","..","..","0","..","0.01","0.21"
"Hong Kong (China)","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"India","","20.39","11.67","1.61","12.96","0.19","6.52","3.77","-12.96","710.74","..","4.22","0.08","1.55","18.78","2387.27","7.51","0.18","1","0.49","0.94","10.62","6.91","0.37","..","0.1","7.63","10.54","13.12","124.73","132.34","120.5","..","..","..","0.07","0.14","32.65","..","..","0.06","0.11","0.01","..","12.07","0.04","..","..","0.04","..","0.89","12.93"
"Indonesia","","327.83","8.38","2.96","7.11","0.01","3.81","1.17","32.19","210.41","4.73","2.33","..","0.08","0.75","-314.1","54.25","0.01","0.06","-10.38","10.52","30.35","1.23","0.03","1.25","0.47","-14.93","6.42","24.99","40.57","108.92","15.64","..","..","..","..","..","0.01","..","..","0.33","0.05","..","..","0.21","0.04","..","..","0.68","..","1.52","18.22"
"Iran","","0.1","18.46","0.22","0.09","0.01","3.01","..","13.31","111.14","1.03","7.14","..","..","3.94","42.52","9.96","0.02","..","..","..","1.87","7.17","0.01","0.01","..","0.6","1.68","0.71","0.6","..","32.49","..","..","..","..","0.01","..","..","..","..","..","0.74","..","7.03","0.07","..","..","0.02","..","1.75","15.46"
"Iraq","","15.9","3.31","5.14","74.23","3.45","10.37","4.38","39.77","366.58","0.07","4.59","..","1.89","12.21","288.13","13.53","0.13","3.1","29.29","2.63","25.71","2.09","0.12","0.27","..","0.41","45.29","15.01","69.73","461.33","195.45","..","0.06","..","..","0.05","0.11","..","21.25","..","..","..","..","6.17","0.21","..","..","0.01","..","32.95","28.79"
"Israel","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Jamaica","","0.02","..","..","6.48","..","..","..","-1.93","-0.75","..","0","..","..","..","-2.65","0.79","..","..","-0.06","0.15","..","0.03","0","..","..","0.72","0.13","..","8.44","24.48","14.35","..","..","..","..","..","0.06","..","-0.83","..","..","0","..","..","..","..","..","..","..","0.01",".."
"Jordan","","15.3","7.42","2.44","66.87","1.81","4.96","0.34","62.37","438.48","1.04","10.08","0.24","3.47","60.89","75.43","11.37","0","1.67","15.09","0.05","22.31","0.8","..","0.02","0.07","1.66","11.99","21.39","85.81","1267.98","668.42","..","0.01","..","0.24","0.13","62.92","..","42.08","..","..","0","..","3.18","0.76","..","..","0","..","2.9","150.6"
"Kazakhstan","","..","3.41","0","0.17","..","..","0.04","3.53","3.83","..","4.9","0.18","..","0.25","-33.22","2.11","0.18","0.04","0.45","..","..","1.91","..","..","..","0.06","0.07","0.04","2.69","15.33","1.67","..","..","..","..","..","0.98","..","-0.75","0.03","..","..","..","1.63","0.18","..","..","..","..","24.14","0.28"
"Kenya","","5.75","2.53","13.02","32.05","0.27","52.69","10.67","73.16","88.97","3.77","3.02","0.28","10.37","12.18","228.52","35.68","..","0.26","10.62","0.71","10.71","3.96","0.07","2.32","0.63","0.15","57.21","13.5","99.03","701.44","128.72","..","..","..","..","1.26","0.83","..","-1.66","0.37","..","0","..","9.27","0.04","..","..","0.02","..","0.82","0.66"
"Kiribati","","29.57","..","..","0.12","..","..","..","..","..","..","..","..","..","..","1.37","3.67","..","..","..","23.73","0.01","..","..","..","..","..","..","..","0.01","0.22","0.92","..","..","..","..","..","0.01","..","..","..","..","0","..","0.36","..","..","..","0","..","..","0.1"
"Korea","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Kosovo","","0.01","11.09","0.01","0.08","0.18","..","0.87","3.68","30.59","..","1.61","..","0.26","0.58","2.85","..","..","7.98","0.12","..","4.94","0.91","0.01","0.28","1.05","0.01","17.33","21.43","7.36","55.26","200.08","..","0.07","0.08","..","0","0.01","..","..","..","0.4","..","..","..","..","..","..","..","..","4.94","0.01"
"Kuwait","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Kyrgyzstan","","0.03","0.71","..","1.45","0.02","-0.32","0.79","1.7","36.34","..","1.88","..","..","0.05","12.62","10.31","0","..","0.12","..","0.35","0.47","..","0.01","0.05","..","0.25","27.14","6.65","47.85","75.8","..","..","..","..","0.19","0.1","3.01","-0.66","0","..","..","..","0.04","0.02","..","..","0","..","19.29","2.14"
