Source,Target,Type,Id,Label,Weight
Australia,Afghanistan,Directed,6484,,60.880001
Australia,Albania,Directed,6485,,0.04
Australia,Algeria,Directed,6486,,0.06
Australia,Angola,Directed,6487,,0.02
Australia,Antigua and Barbuda,Directed,6488,,0.02
Australia,Argentina,Directed,6489,,0.14
Australia,Azerbaijan,Directed,6490,,0.02
Australia,Bangladesh,Directed,6491,,58.970001
Australia,Belize,Directed,6492,,0.12
Australia,Bhutan,Directed,6493,,3.4
Australia,Bolivia,Directed,6494,,0.01
Australia,Bosnia and Herzegovina,Directed,6495,,0.01
Australia,Botswana,Directed,6496,,0.93
Australia,Brazil,Directed,6497,,0.24
Australia,Burkina Faso,Directed,6498,,0.05
Australia,Burundi,Directed,6499,,0.31
Australia,Cabo Verde,Directed,6500,,0.03
Australia,Cambodia,Directed,6501,,43.869999
Australia,Cameroon,Directed,6502,,0.29
Australia,Central African Republic,Directed,6503,,2.9
Australia,China (People's Republic of),Directed,6504,,0.36
Australia,Colombia,Directed,6505,,0.07
Australia,Comoros,Directed,6506,,0.07
Australia,Cook Islands,Directed,6507,,3.18
Australia,Costa Rica,Directed,6508,,0.01
Australia,Cote d'Ivoire,Directed,6509,,0.03
Australia,Democratic Republic of the Congo,Directed,6510,,3.75
Australia,Djibouti,Directed,6511,,0.03
Australia,Dominica,Directed,6512,,0.05
Australia,Dominican Republic,Directed,6513,,0.02
Australia,Ecuador,Directed,6514,,0.04
Australia,Egypt,Directed,6515,,0.17
Australia,El Salvador,Directed,6516,,0.04
Australia,Equatorial Guinea,Directed,6517,,0.01
Australia,Eswatini,Directed,6518,,0.52
Australia,Ethiopia,Directed,6519,,1.15
Australia,Fiji,Directed,6520,,41.540001
Australia,Gambia,Directed,6521,,0.28
Australia,Ghana,Directed,6522,,1.42
Australia,Grenada,Directed,6523,,0.02
Australia,Guatemala,Directed,6524,,0.04
Australia,Guinea,Directed,6525,,0.05
Australia,Guinea-Bissau,Directed,6526,,0.04
Australia,Guyana,Directed,6527,,0.06
Australia,Haiti,Directed,6528,,0.54
Australia,Honduras,Directed,6529,,0.04
Australia,India,Directed,6530,,6.7
Australia,Indonesia,Directed,6531,,187.520004
Australia,Iran,Directed,6532,,0.13
Australia,Iraq,Directed,6533,,23.709999
Australia,Jamaica,Directed,6534,,0.06
Australia,Jordan,Directed,6535,,8.6
Australia,Kenya,Directed,6536,,2.01
Australia,Kiribati,Directed,6537,,20.5
Australia,Kosovo,Directed,6538,,0.12
Australia,Kyrgyzstan,Directed,6539,,0.03
Australia,Lao People's Democratic Republic,Directed,6540,,24.719999
Australia,Lebanon,Directed,6541,,24.440001
Australia,Lesotho,Directed,6542,,0.44
Australia,Liberia,Directed,6543,,0.34
Australia,Madagascar,Directed,6544,,0.37
Australia,Malawi,Directed,6545,,1.41
Australia,Malaysia,Directed,6546,,2.46
Australia,Maldives,Directed,6547,,1.53
Australia,Mali,Directed,6548,,3.62
Australia,Marshall Islands,Directed,6549,,2.05
Australia,Mauritius,Directed,6550,,0.5
Australia,Mexico,Directed,6551,,0.44
Australia,Micronesia,Directed,6552,,4.17
