,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Cayman Islands,Central African Republic,Chad,Chile,China (People's Republic of),Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Democratic People's Republic of Korea,Democratic Republic of the Congo,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Fiji,French Polynesia,Gabon,Gambia,Georgia,Ghana,Gibraltar,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong (China),India,Indonesia,Iran,Iraq,Israel,Jamaica,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Lebanon,Lesotho,Liberia,Libya,Macau (China),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands Antilles,New Caledonia,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Qatar,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Sri Lanka,Sudan,Suriname,Syrian Arab Republic,Chinese Taipei,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Türkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna,West Bank and Gaza Strip,Yemen,Zambia,Zimbabwe
Hungary,0.04,0.72,1.42,0.44,0,0,0.13,0.04,0,4.29,0,0,0.54,0,0.08,0,0,0,0.01,0,0.58,0,3.07,0,0,0,0,0.19,0.29,0.02,0,0,0.01,0,4.94,0.5,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.82,2.12,0,0,0.09,0,3.09,0.01,0,0,0.02,1.21,1.37,0,0,0,0.01,0,0,0,0,0,4,0,2.94,3.4,0,0,10.05,3.97,2.07,0,0,1.26,0,0.65,17.22,1.94,0,0,0.02,0,0.01,0,0.22,0,0.01,0,0,0,0,0,0.81,0,0.55,4.35,0.65,0,2.18,0.01,0.28,0.04,0,0.01,0,0,0,0,3.16,0,0.61,0,0,3.93,0,0,0,0.01,0.03,0.41,0,0.01,0,0,0,0,0,0,0,0,6.63,0,0,0,0,0,0,1.33,0.01,0.19,0.33,0,10.33,0,0,0.46,0.26,0,0,0,0,0,3.45,5.23,0.22,0,0,8.18,7.86,0,0,0.1,0,0.01,6.28,0,0.11,0.69,0,0.03
Iceland,0.57,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.36,0.01,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.05,0.08,0,0,0,0,0.29,0.04,0.25,0,0,0,0,0,0,0.41,0,0.53,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0.33,0,0,0,1.71,0,0,0,0,0,0.12,0,0,0,0,0.1,0,0,0,6.38,0,0,0,0,0,0.24,0.09,0,0.57,0.82,0,0
Ireland,1.86,0.36,0.03,0.48,0,0,0,0.04,0,0,0,0,2.54,0,0.01,0,0,0,0,0.04,0,0.18,0.44,0,0,0.66,2.15,0,0.73,1.17,0,6.77,2.87,0,0.04,2.87,0,0,0,0,0.02,0,0,0,0.56,10.64,0,0,0,0.11,0.11,0.13,0,1.39,0.01,44.48,0,0,0,0.28,0.27,0.3,0,0,1.52,0.36,0.25,0,1.87,1.46,0,1.03,0.04,0.01,1.73,0,0,3.51,0,7.98,0,0,0.2,0,0.01,0.74,4.81,0,4.5,0.05,0,0.03,24.73,0,0,1.49,0,0,0.4,0,0,0.34,0,0,0,0,0,0,29.7,2.95,0.02,0,0.51,0,0,1.3,3.94,2.47,0,0,0,0,0.66,0,0,0.29,0.08,0.6,0.12,0,2.14,0,0,0,0,0,0,0,0.67,0,0,15.23,0,0,0,6.94,5.08,12.44,0.15,5.99,0,6.47,0,0.01,25.78,0.12,0,0,0,0,0,0,5.58,0,0,0,23.76,0.28,0,0,0,0,1.35,9.32,0,12.98,5.61,7.03,8.36
Italy,38.46,19.1,-1.51,1.92,0,0.5,-77.87,0.24,0,0.77,0,0,2.57,0,0.3,1.34,3.75,0,0.05,5.91,1.98,0.01,10.27,0,0,15.73,1.59,2.06,0.48,8.56,0,3.35,2.86,0,-14.09,3.95,0,0.32,0,0.37,3.15,0,10.91,0,0.24,11.15,0.92,0.3,0.1,11.1,10.59,2.35,0,1.9,0.03,19.53,0,0,0.41,0.08,0.48,2.17,0,0.5,0.53,1.13,1.05,0,2.07,1.2,0,16.69,-0.14,2.3,16.46,0,0.06,16,0.15,16.17,0.69,0,1.49,0,0.04,0.13,31.79,0.18,0.51,17.54,0,3.17,0.43,0.04,0.56,4.32,0,0,0.07,0.03,0,0.53,0.28,0.38,0.14,-0.04,0,1.23,27.94,13.9,0.04,0.28,1.56,0,0,0.47,10.93,4.77,0,-0.64,0,0,2.95,0.34,0.02,0.2,1.02,3.16,3.2,0,1.48,0,0,0.37,0.15,0,0,0,17.91,1.26,0,2.87,0,0,0.38,23.67,2.76,9.97,1.42,23.15,0,11.55,0,0.03,9.79,0.3,0.37,2.12,0,0.05,0,44.77,39.96,0.01,0,0.13,6.55,0.77,0,0,0.06,0.31,0.39,4.21,0,48.62,6.16,0.37,0.63
Japan,131.44,-1.13,-0.28,8.71,0,1.93,-11.62,6.27,0,-1.66,0,0,1139.18,0,0.39,1.18,10.39,0,29.25,22.29,19.96,2.76,-28.88,0,0,26.78,11.6,8.53,154.89,33.88,0,5.81,5.76,0,-863.38,11.43,3.57,3.14,0.46,18.69,52.85,0,14.22,0,0,27.29,44.33,0.54,1.8,14.26,161.13,-3.62,0.11,7.18,4.76,64.45,10.49,0,5.08,4.24,-3.36,48.09,0,0.12,10.31,16.34,5.14,2.83,22.81,24.24,0,1794.77,-883.02,12.7,212.43,0,-1.59,85.6,-40.38,213.9,11.56,0,4.16,0,18.33,71.11,5.09,4.59,25.59,3.24,0,32.55,50.84,-72.24,13.58,8.59,0,10.41,9.12,1.07,0,8.72,11.41,0.96,85.8,0.24,0,-59.22,91.79,756.93,-4.82,8.39,126.52,0,0,16.33,13.39,15.17,0.26,-1.3,0,0,-134.49,18.4,-6.27,52.99,26.71,-13.49,498.47,0,78.69,0,0,3.53,4.03,35.44,2.1,0,28.5,27.09,0,18.63,0,0,8.15,14.38,10.03,42.74,32.68,28.13,3.76,69.07,0,22.35,54.92,-505.01,49.1,18.31,0,16.78,0,102.19,-84.49,-0.48,0,3.5,65.14,0.58,0,0,384.16,7.1,0.49,148.63,0,52,60.42,45.08,23.69
Korea,26.07,-0.86,3.29,-6.01,0,0,0.36,0.25,0,20.63,0,0,98.63,0,0.16,0.06,0.09,0,2.53,22.43,-3.9,1.13,1.37,0,0,0.58,0.63,0,70.7,13.97,0,3.33,2.03,0,-4.35,24.29,0.11,0.1,0.02,2.71,10.27,0,0.11,0,0,42.16,0.14,0.02,7.32,21.67,63.91,3.59,0.13,0,0.15,74.47,6.35,0,0.36,0.91,0.31,22.1,0,0.18,7.38,2.35,0.02,0,2.86,33.7,0,3.17,35.43,5.64,14.68,0,0.24,27.38,1.91,23.34,0.93,0,0.05,0,8.87,60.57,3.74,0.09,0.58,1.73,0,3.28,2.98,2.59,0.22,3.18,0,0.21,0.21,0.57,0,1.43,0.57,0.43,54.23,0.09,0,6.02,26.52,88.03,0.58,0.08,18.55,0,0,43.53,0.83,11.2,0.02,0.03,0,0,96.53,0.41,-0.71,1.68,14.23,15.38,72.96,0,21.53,0,0,0.12,0.11,1.15,0,0,35.34,1.72,0,17.9,0,0,2.74,1.95,0.63,3.23,30.15,8.21,0,4.53,0,3.49,43.03,5.92,11.47,1.67,0,0.22,0,2.57,0.89,3.97,0,0.21,27.09,0.85,0,0,64.61,0.23,1.27,81.33,0,7.77,18.3,1.58,1.83
Lithuania,0,0.07,0,0,0,0,0.01,0.05,0,0.15,0,0,0.06,0,2.18,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.12,0.04,0,0.01,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0.2,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,2.43,0,0,0.01,0,0.11,0.01,0,0.02,0.02,0,0
Luxembourg,1.25,0.19,0.17,0.06,0,0,0.18,0,0,0.08,0,0,4.72,0,0,0,1.25,0,0,0.64,0.22,0,1.34,0,0,26.14,0.27,17.13,0.82,0.74,0,1.8,0.7,0,0.2,1.26,0,0,0,0,0.11,0,0.11,0,0,2.64,0,0,0,0.2,0.06,0.83,0,0,0,1.64,0,0,0,0,0.17,0.06,0,0,0.39,0.49,0,0,0.7,0.07,0,1.71,0.15,0,2.76,0,0,0.7,0.07,0.41,0,0,6.92,0,0,24.66,0.97,0,0,1.2,0,0.45,0.96,0,0,24.65,0,0,0,0,0,0,0,0.11,1.35,0.08,0,0.08,0.55,5.71,0,0,2.76,0,0,6.99,42.62,0.01,0,0.14,0,0,0,0,0,0,0.1,0.85,1.01,0,1.67,0,0,0,0,0,0,0,22.77,0.09,0,0,0,0,0,0.84,0.13,2.22,0.16,0.17,0,2.38,0,0,0.27,0.16,0,0.96,0,0,0,1.06,1.5,0,0,0,0.33,1.08,0,0,0.1,0,0.22,3.68,0,5.78,1.37,0.18,0
Netherlands,67.1,0.11,0.81,-0.2,0,0,0.18,0.5,0,0.14,0,0,43.83,0,0.84,0,31.6,0,0,0,0.12,0,0.32,0,0,2.29,30.82,0,0,0,0,4.97,0,0,2.41,5.27,0,0.24,0,0.46,0.03,0,-0.79,0,0.03,17.27,0,0,0.08,0,3.75,0.09,0,0,0,97.56,0,0,0,0.01,0.6,18.14,0,0,0.24,0,0.01,0,0,0.15,0,2.56,-13.59,0.15,15.39,0,-0.55,7.79,0.67,10.16,0,0,0,0,0,0,11.82,0,0,7.67,0,0,0,0,0,40.81,0,0,0.01,0,0,0.15,0,0.28,0.45,0,0,1.21,48.33,2.44,0,0,0.05,0,0,0.01,15.95,14.47,0,0.12,0,0,1.45,0,0.02,0,0,-0.17,0.61,0,47.22,0,0,0,0,0,0,0,4.91,0.17,0,0.03,0,0,0,34.12,0.75,47.28,0.12,9.37,4.31,9.95,0,0,0.18,0.11,0.15,0,0,0,0,19.99,1.79,0,0,0,32.67,2.28,0,0,0,0,2.43,0.53,0,29.46,24.62,0,2.14
New Zealand,1.99,0,0.03,0,0,0.01,0.09,0,0,0,0,0,0.05,0,0,0.03,0,0,0.22,0.09,0,0.11,0.16,0,0,0,0,0,7.35,0.03,0,0,0,0,0.32,0.41,0,0,24.89,0.07,0,0,0,0,0,0,0,0.11,0.08,0.29,0.24,0.08,0,0,0.06,4.45,14.81,0,0,0,0,0.23,0,0.04,0.09,0,0,0.04,0,0,0,0.14,13.47,0,1.32,0,0.16,0.2,0,0.71,10.61,0,0,0,0,5.35,0,0.04,0,0,0,0,0.3,0.27,0.01,0,0,0.7,0,0.05,0,0.11,1.04,0,0.39,0,0,0,0.36,15.68,0,2.82,0.99,0,0,0,0,0.7,15.5,0,0,0,0,0.51,0.01,28.72,0.01,0.64,3.05,0,0.12,0,0,0.16,0.07,14.79,0,0,0,0,0,0.04,0,0,22.21,0,0.08,1.99,1.38,0,0.04,1.98,0,0,0.1,0.31,13.45,0,18.47,9.67,0,0,0.01,0,0,6.41,0.09,0,0,0,0,17.21,1.32,5.1,0,0.2,3.95,1,0.27
