Source,Target,Type,Id,Label,Weight
Australia,Afghanistan,Directed,3295,,75.029999
Australia,Albania,Directed,3296,,0.05
Australia,Antigua and Barbuda,Directed,3297,,0.05
Australia,Argentina,Directed,3298,,0.11
Australia,Bangladesh,Directed,3299,,54.740002
Australia,Belize,Directed,3300,,0.07
Australia,Benin,Directed,3301,,0.03
Australia,Bhutan,Directed,3302,,4.4
Australia,Bolivia,Directed,3303,,0.03
Australia,Bosnia and Herzegovina,Directed,3304,,0.03
Australia,Botswana,Directed,3305,,1.01
Australia,Brazil,Directed,3306,,0.24
Australia,Burkina Faso,Directed,3307,,0.08
Australia,Burundi,Directed,3308,,0.42
Australia,Cabo Verde,Directed,3309,,0.02
Australia,Cambodia,Directed,3310,,51.779999
Australia,Cameroon,Directed,3311,,0.36
Australia,Central African Republic,Directed,3312,,3.13
Australia,China (People's Republic of),Directed,3313,,4.34
Australia,Colombia,Directed,3314,,0.08
Australia,Comoros,Directed,3315,,0.11
Australia,Cook Islands,Directed,3316,,2.11
Australia,Costa Rica,Directed,3317,,0.12
Australia,Cote d'Ivoire,Directed,3318,,0.07
Australia,Cuba,Directed,3319,,0.03
Australia,Democratic Republic of the Congo,Directed,3320,,4.03
Australia,Dominica,Directed,3321,,0.74
Australia,Dominican Republic,Directed,3322,,0.06
Australia,Ecuador,Directed,3323,,0.1
Australia,Egypt,Directed,3324,,0.18
Australia,El Salvador,Directed,3325,,0.07
Australia,Equatorial Guinea,Directed,3326,,0.01
Australia,Eritrea,Directed,3327,,0.03
Australia,Eswatini,Directed,3328,,0.43
Australia,Ethiopia,Directed,3329,,1.6
Australia,Fiji,Directed,3330,,47.07
Australia,Gambia,Directed,3331,,0.31
Australia,Georgia,Directed,3332,,0.01
Australia,Ghana,Directed,3333,,1.73
Australia,Grenada,Directed,3334,,0.04
Australia,Guatemala,Directed,3335,,0.06
Australia,Guinea,Directed,3336,,0.07
Australia,Guinea-Bissau,Directed,3337,,0.04
Australia,Guyana,Directed,3338,,0.09
Australia,Haiti,Directed,3339,,0.5
Australia,Honduras,Directed,3340,,0.08
Australia,India,Directed,3341,,6.6
Australia,Indonesia,Directed,3342,,262.720001
Australia,Iran,Directed,3343,,0.5
Australia,Iraq,Directed,3344,,22.620001
Australia,Jamaica,Directed,3345,,0.13
Australia,Jordan,Directed,3346,,20.73
Australia,Kazakhstan,Directed,3347,,0.02
Australia,Kenya,Directed,3348,,2.68
Australia,Kiribati,Directed,3349,,20.790001
Australia,Kosovo,Directed,3350,,0.13
Australia,Kyrgyzstan,Directed,3351,,0.01
Australia,Lao People's Democratic Republic,Directed,3352,,26.450001
Australia,Lebanon,Directed,3353,,22.25
Australia,Lesotho,Directed,3354,,0.44
Australia,Liberia,Directed,3355,,0.63
Australia,Madagascar,Directed,3356,,0.36
Australia,Malawi,Directed,3357,,1.9
Australia,Malaysia,Directed,3358,,0.99
Australia,Maldives,Directed,3359,,1.62
Australia,Mali,Directed,3360,,3.56
Australia,Marshall Islands,Directed,3361,,0.81
Australia,Mauritius,Directed,3362,,0.58
Australia,Mexico,Directed,3363,,0.21
Australia,Micronesia,Directed,3364,,2.8
Australia,Mongolia,Directed,3365,,7.04
Australia,Morocco,Directed,3366,,0.04
Australia,Mozambique,Directed,3367,,1.58
Australia,Myanmar,Directed,3368,,49.630001
Australia,Namibia,Directed,3369,,0.3
Australia,Nauru,Directed,3370,,23.290001
Australia,Nepal,Directed,3371,,13.8
Australia,Nicaragua,Directed,3372,,0.07
Australia,Niger,Directed,3373,,0.02
Australia,Nigeria,Directed,3374,,1.46
Australia,Niue,Directed,3375,,0.45
Australia,North Macedonia,Directed,3376,,0.01
Australia,Pakistan,Directed,3377,,44.09
Australia,Palau,Directed,3378,,1.2
Australia,Panama,Directed,3379,,0.02
Australia,Papua New Guinea,Directed,3380,,418.600006
Australia,Paraguay,Directed,3381,,0.07
Australia,Peru,Directed,3382,,0.18
Australia,Philippines,Directed,3383,,53.619999
Australia,Rwanda,Directed,3384,,0.94
Australia,Saint Lucia,Directed,3385,,0.06
Australia,Saint Vincent and the Grenadines,Directed,3386,,0.04
Australia,Samoa,Directed,3387,,25.280001
Australia,Sao Tome and Principe,Directed,3388,,0.03
Australia,Senegal,Directed,3389,,0.09
Australia,Sierra Leone,Directed,3390,,0.59
Australia,Solomon Islands,Directed,3391,,113.400002
Australia,Somalia,Directed,3392,,6.89
Australia,South Africa,Directed,3393,,3.32
Australia,South Sudan,Directed,3394,,11.42
Australia,Sri Lanka,Directed,3395,,16.809999
Australia,Sudan,Directed,3396,,3.61
Australia,Suriname,Directed,3397,,0.05
Australia,Syrian Arab Republic,Directed,3398,,16.120001
Australia,Tajikistan,Directed,3399,,0.1
Australia,Tanzania,Directed,3400,,3.14
Australia,Thailand,Directed,3401,,2.37
Australia,Timor-Leste,Directed,3402,,59.200001
Australia,Togo,Directed,3403,,0.09
Australia,Tokelau,Directed,3404,,0.24
Australia,Tonga,Directed,3405,,25.75
Australia,Tunisia,Directed,3406,,0.03
Australia,Türkiye,Directed,3407,,0.15
Australia,Tuvalu,Directed,3408,,6.43
Australia,Uganda,Directed,3409,,1.09
Australia,Ukraine,Directed,3410,,0.09
Australia,Uzbekistan,Directed,3411,,0.02
Australia,Vanuatu,Directed,3412,,42.939999
Australia,Venezuela,Directed,3413,,0.03
Australia,Viet Nam,Directed,3414,,48.66
Australia,Wallis and Futuna,Directed,3415,,0.02
Australia,West Bank and Gaza Strip,Directed,3416,,27.85
Australia,Yemen,Directed,3417,,4.11
Australia,Zambia,Directed,3418,,1.94
Australia,Zimbabwe,Directed,3419,,1.4
Austria,Afghanistan,Directed,3420,,4.03
Austria,Albania,Directed,3421,,9.74
Austria,Algeria,Directed,3422,,0.66
Austria,Angola,Directed,3423,,0.01
Austria,Argentina,Directed,3424,,0.58
Austria,Armenia,Directed,3425,,2.97
Austria,Azerbaijan,Directed,3426,,2.91
Austria,Bangladesh,Directed,3427,,1.26
Austria,Belarus,Directed,3428,,1.17
Austria,Belize,Directed,3429,,0.01
Austria,Benin,Directed,3430,,0.02
Austria,Bhutan,Directed,3431,,1.04
Austria,Bolivia,Directed,3432,,0.2
Austria,Bosnia and Herzegovina,Directed,3433,,22.18
Austria,Botswana,Directed,3434,,0.01
Austria,Brazil,Directed,3435,,2.45
Austria,Burkina Faso,Directed,3436,,6.01
Austria,Burundi,Directed,3437,,0.04
Austria,Cabo Verde,Directed,3438,,0.01
Austria,Cambodia,Directed,3439,,0.07
Austria,Cameroon,Directed,3440,,0.53
Austria,Central African Republic,Directed,3441,,0.04
Austria,Chad,Directed,3442,,0.6
Austria,China (People's Republic of),Directed,3443,,7.1
Austria,Colombia,Directed,3444,,1.64
Austria,Congo,Directed,3445,,0.02
Austria,Costa Rica,Directed,3446,,0.11
